date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:26:21	238263/238263	---MCZ	200	added ('OK')	text/html	etag:W/%223a2b7-K/lu51Mk0WTxF2JOGETQbEIHQrM%22	https://salmannazerbh.gitbook.io/vague/	C:/My%20Web%20Sites/website/salmannazerbh.gitbook.io/vague/index.html	(from )
06:26:21	112/112	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20Mar%202020%2003:26:05%20GMT	https://salmannazerbh.gitbook.io/robots.txt		(from )
06:26:22	19715/19715	---M--	200	added ('OK')	image/png	etag:W/%224d03-LYwLjL5WpwAhJxdL5ZFehtkgujQ%22	https://app.gitbook.com/share/space/thumbnail/-M2kSTDNfDvHuMurYPjy.png	C:/My%20Web%20Sites/website/app.gitbook.com/share/space/thumbnail/-M2kSTDNfDvHuMurYPjy.png	(from https://salmannazerbh.gitbook.io/vague/)
06:26:22	187516/187516	---M-Z	200	added ('OK')	text/css	etag:W/%222dc7c-MlEndlChcp6B66cJCh5yD8CB/Fo%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css	(from https://salmannazerbh.gitbook.io/vague/)
06:26:23	9162/9162	---M--	200	added ('OK')	image/png	etag:%22d7657f386915efca951c1a46a4839514%22	https://gblobscdn.gitbook.com/spaces%2F-M2kSTDNfDvHuMurYPjy%2Favatar-1584586012520.png?generation=1584586012912857&alt=media	C:/My%20Web%20Sites/website/gblobscdn.gitbook.com/spaces/-M2kSTDNfDvHuMurYPjy/avatar-1584586012520fc39.png	(from https://salmannazerbh.gitbook.io/vague/)
06:26:24	47951/47951	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2006%20Mar%202020%2014:16:41%20GMT	https://polyfill.io/v3/polyfill.min.js?flags=gated&features=Intl	C:/My%20Web%20Sites/website/polyfill.io/v3/polyfill.min5eb0.js	(from https://salmannazerbh.gitbook.io/vague/)
06:26:24	92285/92285	---MCZ	200	added ('OK')	text/html	etag:W/%221687d-/cFIYVviLUQDnMKKj59PgY5uDV8%22	https://salmannazerbh.gitbook.io/vague/changelog	C:/My%20Web%20Sites/website/salmannazerbh.gitbook.io/vague/changelog.html	(from https://salmannazerbh.gitbook.io/vague/)
06:26:25	535215/535215	---M--	200	added ('OK')	image/png	etag:%2282aaf-z2ZweGvcg+laqCq7YsWiuZ0MMkM%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-people.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-people.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:27	362357/362357	---M--	200	added ('OK')	image/png	etag:%2258775-CBMqz6B3sLI+rlBgzcLyLxmcDfU%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-nature.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-nature.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:29	928556/928556	---M--	200	added ('OK')	image/png	etag:%22e2b2c-C0Ma5+UCuPdt8eYWEedV1ILs3Nk%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-nature@2x.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-nature@2x.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:30	1382319/1382319	---M--	200	added ('OK')	image/png	etag:%221517af-3E5PwCZQqE6BltRTfb28vhyA+T0%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-people@2x.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-people@2x.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:30	223286/223286	---M--	200	added ('OK')	image/png	etag:%2236836-9My4CJxLAxYpmhryzcd7aeN9lvE%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-food.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-food.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:30	586802/586802	---M--	200	added ('OK')	image/png	etag:%228f432-EcmRisJmWV6sZ07l2Moo0qD64F8%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-food@2x.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-food@2x.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
06:26:31	167392/167392	---M--	200	added ('OK')	image/png	etag:%2228de0-U7VY/vkNqiM2wFtWySlDYlMJuK8%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-activity.png	C:/My%20Web%20Sites/website/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40-activity.png	(from https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css)
